track,artist,popularity,album,genre,concat
Under Your Spell,Snow Strippers,78,April Mixtape 3,Electronic,3:38
Vehicle Dissolve,Provoker,33,Body Jumper,Alternative Rock,3:21
No Nein,1tbsp,54,No Nein,House,2:31
Sleeves Touch My Elbows,1tbsp,41,Mosquito Love,House,3:30
Hypernight,Title Fight,41,Hyperview,Alternative Rock,2:56
Telling You to Love Me,Butschi,22,Telling You to Love Me,Dance,6:20
Sleight Of Hand,Provoker,26,Demon Compass,Alternative Rock,2:45
Rose In A Glass,Provoker,48,Body Jumper,Alternative Rock,2:58
gonmakit,Brennan Jones,46,gonmakit,Rap,1:03
Power,Xavier Wulf,37,Shut up Be Quiet,Rap,4:08
